age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y
34,self-employed,single,secondary,no,1261,yes,no,cellular,169,2,-1,0,unknown,no
52,admin.,divorced,tertiary,no,0,yes,yes,cellular,160,1,-1,0,unknown,no
43,services,single,secondary,no,3403,yes,no,cellular,707,2,97,2,success,yes
38,management,married,tertiary,no,1555,no,no,cellular,66,5,-1,0,unknown,no
54,admin.,married,tertiary,no,-690,yes,yes,unknown,230,4,-1,0,unknown,no
42,blue-collar,married,primary,no,807,yes,no,cellular,1057,1,-1,0,unknown,yes
47,blue-collar,married,primary,no,146,yes,yes,unknown,53,5,-1,0,unknown,no
29,management,married,tertiary,no,198,yes,no,cellular,1179,1,-1,0,unknown,no
75,retired,divorced,primary,no,852,no,no,cellular,228,1,185,1,failure,no
59,retired,married,secondary,no,-48,yes,no,unknown,224,1,-1,0,unknown,no
57,technician,married,tertiary,no,-1,no,no,unknown,850,2,-1,0,unknown,yes
46,admin.,married,secondary,no,5021,no,no,cellular,957,1,182,1,success,yes
36,technician,single,secondary,no,75,yes,no,cellular,485,2,342,4,other,no
54,technician,married,tertiary,no,98,no,no,cellular,420,4,-1,0,unknown,no
51,management,divorced,tertiary,no,0,no,no,cellular,60,2,-1,0,unknown,no
37,blue-collar,single,primary,no,0,yes,yes,cellular,118,1,-1,0,unknown,no
31,management,married,tertiary,no,22867,yes,no,unknown,241,2,-1,0,unknown,no
27,admin.,married,secondary,no,436,yes,no,cellular,410,1,-1,0,unknown,no
34,unemployed,single,secondary,no,9895,no,no,cellular,356,2,-1,0,unknown,no
24,student,single,secondary,no,4126,no,no,cellular,83,5,191,2,success,no
38,housemaid,married,secondary,no,0,yes,no,unknown,59,3,-1,0,unknown,no
57,management,married,secondary,no,570,no,no,unknown,75,2,-1,0,unknown,no
38,admin.,married,secondary,no,0,yes,no,cellular,175,2,-1,0,unknown,no
27,housemaid,married,secondary,no,4848,yes,yes,telephone,82,3,-1,0,unknown,no
31,blue-collar,married,secondary,no,3364,yes,no,cellular,290,1,-1,0,unknown,no
23,housemaid,single,primary,no,93,yes,no,cellular,70,3,-1,0,unknown,no
40,self-employed,divorced,tertiary,no,1077,no,no,cellular,309,1,-1,0,unknown,no
47,self-employed,married,secondary,no,318,no,no,cellular,83,1,-1,0,unknown,no
53,retired,married,primary,no,2010,no,yes,unknown,182,1,-1,0,unknown,no
39,housemaid,married,primary,no,0,yes,no,cellular,92,4,-1,0,unknown,no
59,retired,married,secondary,no,306,no,yes,cellular,121,1,-1,0,unknown,no
54,blue-collar,married,primary,no,1311,no,no,telephone,485,3,184,3,failure,yes
22,student,single,secondary,no,2488,no,no,cellular,449,2,38,10,other,yes
31,services,married,secondary,no,655,no,yes,cellular,190,6,-1,0,unknown,no
38,management,married,tertiary,yes,327,yes,yes,cellular,556,5,-1,0,unknown,yes
35,services,single,secondary,no,2467,no,no,cellular,319,5,-1,0,unknown,no
44,admin.,divorced,secondary,no,0,no,no,cellular,57,1,-1,0,unknown,no
49,housemaid,divorced,primary,no,164,yes,no,unknown,1080,5,-1,0,unknown,no
49,admin.,divorced,secondary,no,266,yes,no,unknown,162,2,-1,0,unknown,no
55,blue-collar,married,primary,no,828,yes,no,unknown,246,1,-1,0,unknown,no
30,blue-collar,married,secondary,no,-135,yes,no,cellular,57,1,-1,0,unknown,no
43,blue-collar,married,secondary,no,-210,yes,no,cellular,523,2,-1,0,unknown,no
28,blue-collar,married,primary,no,32,yes,no,unknown,218,1,-1,0,unknown,no
23,technician,single,secondary,no,356,yes,no,cellular,224,2,356,2,failure,no
51,technician,married,secondary,no,19,no,yes,cellular,160,4,-1,0,unknown,no
51,blue-collar,divorced,primary,no,837,no,no,telephone,41,2,-1,0,unknown,no
36,management,single,tertiary,no,86,no,no,cellular,48,4,-1,0,unknown,no
33,admin.,married,secondary,no,920,no,no,cellular,111,1,105,1,success,no
31,blue-collar,divorced,secondary,no,0,yes,yes,cellular,913,4,-1,0,unknown,yes
51,admin.,married,secondary,no,50,no,no,cellular,178,2,-1,0,unknown,no
57,housemaid,divorced,primary,no,395,no,no,unknown,125,1,-1,0,unknown,no
42,entrepreneur,married,secondary,no,2239,yes,no,cellular,176,1,-1,0,unknown,no
46,housemaid,married,primary,no,1085,no,no,cellular,265,8,-1,0,unknown,no
38,management,single,tertiary,no,7303,yes,no,cellular,164,6,-1,0,unknown,no
31,unemployed,divorced,tertiary,no,256,yes,no,cellular,264,1,201,2,success,no
36,unemployed,married,tertiary,no,154,no,no,cellular,556,7,-1,0,unknown,yes
40,blue-collar,married,secondary,no,-648,yes,no,cellular,280,2,-1,0,unknown,no
29,services,married,secondary,no,1057,yes,no,unknown,179,1,-1,0,unknown,no
40,services,married,secondary,no,191,yes,no,cellular,201,2,293,6,other,no
